lambda1,lambda2,num_tasks,objective_value,objective_value_ci95,task_cost,task_cost_ci95,expected_completion_rate,expected_completion_rate_ci95,runtime_seconds,runtime_seconds_ci95
0.25,0.75,10,23.853789338173627,0.9031037765558632,10.046087342377195,0.8121741257477403,0.35153748231690574,0.012693270532982696,0.0014170765876770019,0.00017876731389501141
0.25,0.75,20,20.24492178255398,0.9618105426465051,19.625988899077765,1.3626800823908274,0.3353522534309789,0.014802624479417974,0.0027835392951965333,0.00047671531141402223
0.25,0.75,30,16.2567968931106,1.061397341266524,25.989326273331987,1.9894486203288602,0.3033883794859146,0.01896728082722465,0.003452122211456299,0.00024752714343848715
0.25,0.75,40,11.889807819257294,0.9840867520056751,31.63945569203744,2.770203282891413,0.263995623230222,0.020300673432077525,0.004459583759307861,0.0005961121867987513
0.25,0.75,50,8.45475862450079,0.8742384818279787,34.516774102395,3.1565224153594946,0.22778602866799388,0.019729204227300706,0.00459416151046753,0.00044041932862013577
0.5,0.5,10,12.553830444656688,0.6259425899746717,10.046087342377195,0.8121741257477403,0.35153748231690574,0.012693270532982696,0.001551992893218994,0.0001252769064146138
0.5,0.5,20,6.954618222010062,0.6688301256861939,19.625988899077765,1.3626800823908274,0.3353522534309789,0.014802624479417974,0.002565915584564209,0.000177267566422196
0.5,0.5,30,2.174755837629738,0.6024516691466432,25.989326273331987,1.9894486203288602,0.3033883794859146,0.01896728082722465,0.0034194231033325196,0.00026494416825444204
0.5,0.5,40,-2.6199466845076222,0.7139000698570317,31.63945569203744,2.770203282891413,0.263995623230222,0.020300673432077525,0.004114501476287842,0.00038632329540653706
0.5,0.5,50,-5.869085617797807,0.8564200838628446,34.516774102395,3.1565224153594946,0.22778602866799388,0.019729204227300706,0.004385795593261719,0.00040895227501078733
0.75,0.25,10,1.2538715511397465,0.5829358904537283,10.046087342377195,0.8121741257477403,0.35153748231690574,0.012693270532982696,0.0014892411231994629,0.00012260959572895006
0.75,0.25,20,-6.335685338533851,0.8705972467363878,19.625988899077765,1.3626800823908274,0.3353522534309789,0.014802624479417974,0.002455751895904541,0.00017856302180189099
0.75,0.25,30,-11.907285217851122,1.143122264947118,25.989326273331987,1.9894486203288602,0.3033883794859146,0.01896728082722465,0.0033959507942199706,0.00026192438957955077
0.75,0.25,40,-17.129701188272534,1.656759831950597,31.63945569203744,2.770203282891413,0.263995623230222,0.020300673432077525,0.004077551364898682,0.0003722132261255402
0.75,0.25,50,-20.1929298600964,1.9493338106208635,34.516774102395,3.1565224153594946,0.22778602866799388,0.019729204227300706,0.004535160064697266,0.0003950916280023143
